no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,income_to_loan_ratio,total_assets
0,0,1,9800000,23900000,14,459,1000000,13400000,21100000,7200000,0.4100418410041841,35500000
3,1,1,3600000,8600000,8,790,5400000,5900000,9800000,5200000,0.4186046511627907,21100000
2,1,0,2000000,4000000,14,502,4900000,1500000,5400000,1300000,0.5,11800000
2,1,1,3900000,11300000,12,516,3100000,0,10400000,4600000,0.34513274336283184,13500000
3,1,0,2300000,8500000,12,557,3600000,1400000,6200000,1300000,0.27058823529411763,11200000
2,1,0,2100000,5000000,4,542,700000,600000,6600000,3100000,0.42,7900000
4,1,1,5500000,18200000,16,797,-100000,4900000,18600000,4800000,0.3021978021978022,23400000
0,0,1,4300000,12800000,20,572,8600000,2200000,11000000,6100000,0.3359375,21800000
1,1,1,3500000,13500000,12,824,8400000,3900000,11600000,4100000,0.25925925925925924,23900000
3,0,0,900000,3100000,10,369,1400000,100000,1700000,500000,0.2903225806451613,3200000
2,0,1,2800000,8400000,10,534,8300000,4800000,10600000,1500000,0.3333333333333333,23700000
2,0,0,1700000,3700000,20,558,4100000,1400000,5000000,2500000,0.4594594594594595,10500000
0,1,1,9300000,32000000,8,438,24800000,6400000,34900000,12400000,0.290625,66100000
1,1,1,700000,1800000,16,641,2100000,400000,1600000,900000,0.3888888888888889,4100000
3,1,1,6400000,23500000,12,684,17200000,10300000,25300000,7400000,0.2723404255319149,52800000
5,0,0,8800000,21600000,18,613,15400000,12100000,30000000,8400000,0.4074074074074074,57500000
1,0,0,200000,300000,12,697,600000,300000,700000,100000,0.6666666666666666,1600000
4,1,0,6800000,17000000,2,749,18000000,3800000,27100000,9400000,0.4,48900000
1,1,1,3200000,9000000,20,372,2700000,2800000,7200000,3800000,0.35555555555555557,12700000
2,1,1,700000,2600000,12,429,1600000,1300000,2700000,800000,0.2692307692307692,5600000
1,0,1,2100000,7300000,16,826,1600000,3500000,7700000,1400000,0.2876712328767123,12800000
3,1,1,8300000,25900000,8,696,14400000,12200000,23500000,7100000,0.3204633204633205,50100000
3,0,1,9200000,33500000,8,564,20800000,15200000,29800000,11400000,0.2746268656716418,65800000
2,1,0,400000,1000000,6,425,800000,300000,800000,200000,0.4,1900000
2,0,1,8600000,24900000,20,607,13600000,7600000,31800000,5400000,0.3453815261044177,53000000
4,1,0,6900000,18000000,8,347,16400000,9300000,18300000,8700000,0.38333333333333336,44000000
2,0,0,6500000,16200000,10,809,14000000,4700000,13200000,8600000,0.4012345679012346,31900000
5,1,0,5500000,21200000,4,582,12100000,8300000,17100000,3100000,0.25943396226415094,37500000
1,0,0,2300000,6600000,2,357,5900000,200000,6000000,2200000,0.3484848484848485,12100000
0,1,1,4600000,14800000,6,433,12100000,4600000,11100000,6700000,0.3108108108108108,27800000
4,1,1,9300000,36700000,20,808,16500000,14700000,26500000,7100000,0.25340599455040874,57700000
3,0,1,7700000,22300000,20,895,22200000,13300000,23900000,9100000,0.3452914798206278,59400000
0,1,1,6100000,15900000,18,456,12900000,10800000,19100000,8800000,0.3836477987421384,42800000
0,0,1,3700000,8500000,8,424,1900000,5600000,14800000,4100000,0.43529411764705883,22300000
0,1,1,5700000,19400000,8,544,4300000,6400000,19900000,5800000,0.29381443298969073,30600000
2,0,1,6600000,15000000,18,470,1200000,4800000,18200000,7000000,0.44,24200000
5,0,1,4100000,10100000,4,792,4400000,6100000,8600000,4900000,0.40594059405940597,19100000
0,0,1,5000000,19900000,6,748,8300000,8500000,11300000,3000000,0.25125628140703515,28100000
5,1,1,3500000,11800000,4,642,2300000,2900000,11900000,3600000,0.2966101694915254,17100000
4,0,0,7500000,28700000,20,520,4600000,3500000,15200000,5700000,0.2613240418118467,23300000
4,1,0,6000000,15800000,18,593,6800000,4800000,13200000,6400000,0.379746835443038,24800000
5,1,1,9400000,23100000,6,762,12400000,10200000,22300000,6600000,0.4069264069264069,44900000
4,0,0,3500000,11600000,10,335,6300000,5200000,10300000,2300000,0.3017241379310345,21800000
3,1,1,3500000,12000000,2,786,600000,6400000,10700000,1700000,0.2916666666666667,17700000
